Word,Known,Discard
am,False,True
familia,True,False
creer,True,False
loca,True,False
elegir,True,False
vivir,True,False
casa,True,False
familiar,True,False
abuelo,True,False
piedra,True,False
puerta,True,False
hierro,True,False
pintado,False,False
verde,True,False
calle,True,False
detalle,True,False
antiguo,True,False
suelo,False,False
gastado,False,False
ocurrir,True,False
piso,True,False
enamorado,False,False
chica,True,False
alquilar,False,False
abogado,True,False
recordar,True,False
malhumor,True,False
extrañar,False,False
habitación,True,False
ventana,True,False
alto,True,False
patio,False,False
interno,True,False
parecer,True,False
jardín,True,False
pasar,True,False
entrar,True,False
hombre,True,False
callado,False,False
secreto,False,False
sonreir,True,False
jugar,False,False
siquiera,True,False
morir,True,False
muerte,True,False
perder,True,False
año,True,False
llegar,True,False
equipo,True,False
revista,True,False
viaje,True,False
cerrar,True,False
hermoso,True,False
cómodo,True,False
buena,True,False
condición,True,False
tener,True,False
cuenta,True,False
querer,True,False
barrio,True,False
hacer,True,False
alquiler,False,False
barato,True,False
salvar,True,False
rápido,True,False
ayudar,True,False
robar,True,False
oficina,True,False
llevar,False,False
computadora,True,False
horno,True,False
pesado,False,False
estación,True,False
tren,True,False
venir,True,False
sur,True,False
ciudad,True,False
siglo,True,False
zona,True,False
porteño,False,False
existir,True,False
mansión,True,False
hotel,True,False
anciano,True,False
lado,True,False
huir,True,False
norte,True,False
escapar,True,False
amarillo,True,False
volver,True,False
rico,True,False
comprar,True,False
quedar,True,False
marcado,True,False
huida,False,False
abandono,True,False
vez,True,False
peor,True,False
saber,True,False
mover él,True,False
entender,True,False
dinámica,True,False
horario,True,False
peligroso,True,False
viernes,True,False
noche,True,False
acercar,True,False
plaza,False,False
atrapado,True,False
pelea,True,False
posible,True,False
defender,True,False
territorio,True,False
perseguir,True,False
perpetuo,True,False
adicto,True,False
ofender,False,False
cosa,True,False
reaccionar,True,False
atacar,True,False
botella,True,False
baldosa,False,False
caminar,True,False
decir,True,False
chico,True,False
ver,True,False
dar,True,False
madre,True,False
hablar,True,False
dejar,True,False
estar,True,False
pensar,True,False
escuchar,True,False
mujer,True,False
ir,True,False
salir,True,False
ojo,True,False
policía,True,False
seguir,True,False
mano,True,False
padre,True,False
correr,True,False
día,True,False
cabeza,True,False
mejor,True,False
contar,False,False
encontrar,True,False
gritar,True,False
mirar,True,False
llamar,True,False
miedo,True,False
muerto,True,False
pedir,True,False
sucio,True,False
pelo,True,False
poner,True,False
luz,True,False
sentir,True,False
gente,True,False
preguntar,True,False
dormir,True,False
tomar,True,False
auto,True,False
hijo,True,False
esperar,True,False
empezar,True,False
agua,True,False
llorar,True,False
cama,True,False
usar,True,False
hora,True,False
cara,True,False
tratar,True,False
veces,True,False
terminar,True,False
voz,True,False
negro,True,False
blanco,True,False
brazo,True,False
abrir,True,False
conocer,True,False
primero,True,False
solo,True,False
cuerpo,True,False
intentar,True,False
tiempo,True,False
semana,True,False
hermano,True,False
pequeño,True,False
comer,True,False
novio,True,False
decidir,True,False
gustar,True,False
grande,True,False
vecino,True,False
lugar,True,False
historia,True,False
bajar,True,False
sacar,True,False
vacío,True,False
aparecer,True,False
único,True,False
mes,True,False
mamá,True,False
parte,True,False
tarde,True,False
último,True,False
problema,True,False
teléfono,True,False
buscar,True,False
boca,True,False
bebé,True,False
pared,True,False
baño,True,False
dedo,True,False
resultar,True,False
trabajo,True,False
llave,True,False
matar,True,False
papá,True,False
oscuro,True,False
villa,False,False
viejo,True,False
